first_name,last_name,username,password,is_active
Ivan,Petrenko,Ivan.Petrenko,abc1234567,true
Maksym,Bondarenko,Maksym.Bondarenko,pass100001,true
Dmytro,Kravchenko,Dmytro.Kravchenko,pass100002,true
Andrii,Melnyk,Andrii.Melnyk,pass100003,true
Serhii,Tkachenko,Serhii.Tkachenko,pass100004,true
Yurii,Moroz,Yurii.Moroz,pass100005,true
Bohdan,Lysenko,Bohdan.Lysenko,pass100006,true
Roman,Savchenko,Roman.Savchenko,pass100007,true
Artem,Polishchuk,Artem.Polishchuk,pass100008,true
Oleksandr,Hrytsenko,Oleksandr.Hrytsenko,pass100009,true
Nazar,Kostenko,Nazar.Kostenko,pass100010,false
Mykola,Rudenko,Mykola.Rudenko,pass100011,true
Vladyslav,Sydorenko,Vladyslav.Sydorenko,pass100012,true
Taras,Pavlenko,Taras.Pavlenko,pass100013,true
Pavlo,Honchar,Pavlo.Honchar,pass100014,true
Oleg,Shevchenko,Oleg.Shevchenko,qwerty1234,true
Anna,Koval,Anna.Koval,pass123456,true
Olena,Kravets,Olena.Kravets,coach10001,true
Iryna,Marchenko,Iryna.Marchenko,coach10002,true
Kateryna,Levchenko,Kateryna.Levchenko,coach10003,true
Viktor,Danylenko,Viktor.Danylenko,coach10004,true
Denys,Kovalchuk,Denys.Kovalchuk,coach10005,true
Maryna,Zhuk,Maryna.Zhuk,coach10006,true
Sofia,Bilyk,Sofia.Bilyk,coach10007,true
Yana,Taran,Yana.Taran,coach10008,false
Volodymyr,Fedorenko,Volodymyr.Fedorenko,coach10009,true
Alina,Romanenko,Alina.Romanenko,coach10010,true
Myroslav,Semenuk,Myroslav.Semenuk,coach10011,true
Natalia,Chernenko,Natalia.Chernenko,coach10012,true
Petro,Klymenko,Petro.Klymenko,coach10013,true
